Project Profile,Notes/Assumptions,Contributions,Base Variables ,Baseline,P1 Adjusted variables ,P1 financing savings,P2 Adjusted Variable ,"P2 Fees, Permiting & Tax",P3 Adjusted variables,P3 Non-podium,P4 Adjusted variables,P4 free land,P5 Adjusted variables2,P5 All savings,P3 Adjusted variables2,P3 Podium High commercial 
Total ft^2,,,,64045,,62632,,62632,,47250,,62632,,47250,,47250
Residential ft2,,,,60000,,58587,,58587,,46000,,58587,,46000,,41000
Non-residential  ft2,,,,4045,,4045,,4045,,1250,,4045,,1250,,6250
Land Area,,,,15000,,15000,,15000,,15000,,15000,,15000,,15000
# of Floors,,,,6,,6,,6,,5,,6,,5,,4
PSH Units,,,,102,,102,,102,,80,,102,,80,,56
CA Units,,,,3,,3,,3,,2,,3,,2,,8
Units total,,,,105,,105,,105,,82,,105,,82,,64
Acquisition - Construction (Months),,,,20,,20,,20,,20,,20,,20,,20
Construction - C/O (Months),,,,16,,16,,16,,14,,16,,14,,14
Total Project Duration ,,,,36,,36,,36,,34,,36,,34,,34
Time to full lease ,,,,8,,8,,8,,8,,8,,8,,8
Total Project Cost,,,,35440771.51,,33169549.95,,31090190.53,,20787629.3,,31705071.96,,15611894.61,,24386514.6
Project Cost/Unit,,,,337531.1573,,315900.4757,,296097.0527,,253507.6744,,301953.0663,,190388.9587,,381039.2906
Project Opporating costs / year ,"$13,000 for opporating + $8,000 if services needed, Uinique for remote sites",,,21000,,21000,,21000,,21000,,21000,,21000,,266307.8125
Acquisition,,,0.104521998,,0.1,,0.1,,0.104521998,,0.104521998,,0.104521998,,0.1,
Land,Cost =Land sqft*cost/sqft= (Total sqft/Floors)*$300/sqft,Scales ,210,3150000,210,3150000,210,3150000,210,3150000,0,0,0,0,240,3600000
Existing Structure,Data Needed,,0,,0,,0,,0,,0,,0,,0,
Construction,,,0.004479873,,0.004479873,,0.004479873,,0.004479873,,0.004479873,,0.004479873,,0.004479873,
Pre Construction Services,if included ~$100k + 5x land sqft,Unique,100000,153370.8333,100000,152193.3333,100000,152193.3333,25000,72250,100000,152193.3333,25000,72250,100000,159062.5
Demo,if included ~$50K,Unique,50000,50000,50000,50000,50000,50000,0,0,50000,50000,0,0,50000,50000
General Contractor Costs: Roll below values up,Sum section below to this line + missing costs ,,Avg margin ,19368370,Avg margin ,18964252,contractor margin -~1%,18774609.48,Avg Margin,10686100,Avg margin ,18964252,'contractor margin -~1%,10579239,Avg margin,13443700
New Building,Total sqft * cost per square foot ~$260,Scales ,280,17932600,280,17536960,280,17536960,200,9450000,280,17536960,200,9450000,260,12285000
Rehab,Data Needed If Acquisition of existing structure ~??? *structure cost,Unique,0.006906933,,0.006906933,,0.006906933,,0.006906933,,0.006906933,,0.006906933,,0.006906933,
Furnishings,~$2100*Number of units,Scales ,2100,220500,2100,220500,2100,220500,2100,172200,2100,220500,2100,172200,2100,134400
Appliances,~2200*Number of units,Scales ,2200,231000,2200,231000,2200,231000,2200,180400,2200,231000,2200,180400,2200,140800
Site Work/Infrastructure,Data Needed,,0.011085394,,0.011085394,,0.011085394,,0.011085394,,0.011085394,,0.011085394,,0.011085394,
Flooring,~6$ * total Sqft,Scales ,6,384270,6,375792,6,375792,6,283500,6,375792,6,283500,6,283500
Land Improvements,Data Needed,Unique,0,,0,,0,,0,,0,,0,,0,
Off site infrastructure,Data Needed,,0,,0,,0,,0,,0,,0,,0,
Environmental Abatement (Building),Data Needed,,0.000298634,,0.000298634,,0.000298634,,0.000298634,,0.000298634,,0.000298634,,0.000298634,
Environmental Abatement (Land),Data Needed,Fixed,0,,0,,0,,0,,0,,0,,0,
Contractor Profit,Contractor Profit & overhead seems mixed,Unique,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000
Contractor Overhead,Roughly even split between the too of $300k each,Unique,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000
Environmental Abatement by Owner: ,Sum section below to this line ,,,60000,,60000,,60000,,60000,,60000,,60000,,60000
Building,May or not be included depending on project needs,Unique,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000
Land,Should be present on all projects close to fixed cost,Unique,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
Construction Contingencies,Sum section below to this line ,,,2517888.1,,2465352.76,,2440699.232,,1389193,,2465352.76,,1375301.07,equal % of smaller value,1747681
Construction Contingency,Total General contractor cost*.07,Scales ,0.07,1355785.9,0.07,1327497.64,0.07,1314222.664,0.07,748027,0.07,1327497.64,0.07,740546.73,0.07,941059
Escalation,Data Needed (Exclude when?) if present GC cost *.05,Scales ,0.05,968418.5,0.05,948212.6,0.05,938730.474,0.05,534305,0.05,948212.6,0.05,528961.95,0.05,672185
Contractor Contingency,Data Needed (Exclude when?) if present GC cost *.01,Scales ,0.01,193683.7,0.01,189642.52,0.01,187746.0948,0.01,106861,0.01,189642.52,0.01,105792.39,0.01,134437
Sales Tax,Sum section below to this line,,,2268555.469,,2222722.713,Waved,0,,,,2222722.713,,,Waved,0
Sales Tax on GC Contract Work,(GC cost+Pre Construction +Demo) *.101 (Tax rate),Scales ,0.101,1976745.824,0.101,1935810.979,0,0,0.101,1086593.35,0.101,1935810.979,0,1075800.389,0,0
Sales Tax on Contingency + Owner Direct Work,(Abatement & Construction by Owner+non-contractor Contingencies) *.101 (Tax rate),Scales ,0.101,291809.6444,0.101,286911.7342,0,0,0.101,186580.532,0.101,286911.7342,0,185285.3767,0,0
Bond Premium,"Data Need    (may be excludable) close to fixed, financing cost? ",Unique,0.008,154946.96,0,0,0.008,150196.8758,0.008,85488.8,0.008,151714.016,0,84633.912,0,107549.6
Owner Construction Costs:,Sum section below to this line,,0.002538391,660000,0.002538391,660000,0.002538391,660000,0.002538391,660000,0.002538391,660000,0.002538391,660000,0.002538391,730000
Common Area Furnishings,"roughly consistent across projects at $80,000",Fixed,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,150000,150000
Apartment Furnishings ,"Data Needed  (duplicate item? ) roughly fixed cost of $75,000",Fixed,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000
Low Voltage Contractor,Data Needed  (if not here where is this cost captured?),Unique,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000
Other Owner Direct Contracts,Data Needed  ( what falls into this category?),Unique,205000,205000,205000,205000,205000,205000,205000,205000,205000,205000,205000,205000,205000,205000
Soft Costs,,,0,,0,,0,,0,,0,,0,,0,
Appraisal,Data Needed,Fixed,3500,,3500,,3500,,3500,,3500,,3500,,3500,
Market Study,Data Needed,Fixed,7000,,7000,,7000,,7000,,7000,,7000,,7000,
Architect:,Sum section below to this line,,0,1445785.9,0,1417497.64,0,1404222.664,0,838027,0,1417497.64,0,830546.73,0,1031059
Site Analysis and Concept, Data Needed (Not included on every project?) ~$50000,Fixed,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000
Base Contract,~ 7%  of GC cost ( =total GC *0.07),Unique,0.07,1355785.9,0.07,1327497.64,0.07,1314222.664,0.07,748027,0.07,1327497.64,0.07,740546.73,0.07,941059
Capital Needs Assessment,Data needed ,Fixed,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000
Reimbursables,Data Needed,Fixed,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000
Engineering,Data Needed ,Fixed,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
Environmental Assessment,~$12000 +- 5K,Fixed,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000
Geotechnical Study,~$12000 +- 5K,Fixed,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000
Boundary & Topographic Survey,~$45000 +- 6k,Fixed,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
Legal - Real Estate,~$25000 +- 10k,Fixed,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000
Developer Fee:,Total construction costs * 12.5% +- 1%,Scales ,0.125,2421046.25,0.125,2370531.5,0.1,1877460.948,0.125,1335762.5,0.125,2370531.5,0.1,1057923.9,0.125,1680462.5
Paid Fee, Some fraction of total fee,,0.012344138,,0.012344138,,0.012344138,,0.012344138,,0.012344138,,0.012344138,,0.012344138,
Deferred Fee,Data needed (is there additional cost included with deferred fee),,0.000241894,,0.000241894,,0.000241894,,0.000241894,,0.000241894,,0.000241894,,0.000241894,
Project Management/Dev Consultant Fees,~$8000 when included ,Fixed,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,
Other Construction Testing Consultants:,Sum section below to this line ,,0.001791806,195000,0.001791806,195000,0.001791806,195000,0.001791806,195000,0.001791806,195000,0.001791806,195000,0.001791806,195000
Surveyor Monitoring,Proportional to plot size and complexity ~ fixed $50000 +- 10K,Fixed,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000
Air Barrier & Window Testing,"~$18,000 +- 3K",Fixed,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000
Geotech Monitoring,"~ 50,000",Fixed,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000
Structural Testing (Special Inspections)," ~30,000 +- 5k",Fixed,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
HVAC & Plumbing Commissioning,"~$47,000 +- 10K",Fixed,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000
Other Soft Costs: ,Sum section below to this line,,0.00107978,37000,0.00107978,37000,0.00107978,37000,0.00107978,37000,0.00107978,37000,0.00107978,37000,0.00107978,37000
Construction Easements,"~$30,000 +- 5K",,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
SCL Transformer Trucking,~$7000 +- 3K,,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000
Pre-Development /Bridge Financing,,,0.000836176,,0.000836176,,0.000836176,,0.000836176,,0.000836176,,0.000836176,,0.000836176,
Bridge Loan Fees,"~$28,000 Fixed but may be a removable cost ",CSD,28000,28000,0,0,28000,28000,28000,28000,28000,28000,0,28000,0,0
Bridge Loan Interest:,Sum section below to this line,CSD,0.007781155,0,0.007781155,0,0.007781155,0,0.007781155,0,0.007781155,0,0.007781155,0,0.007781155,0
Bridge Loan,~ if included scales with size of bridge loan ,CSD,0.11,,0.11,,0.11,,0.11,,0.11,,0.11,,0.11,
PSH Development Org Pre-Dev Loan ,"~ $28,000 +- 5K interest on Self funded loan with 1% rate",CSD,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,,0.01,
Construction Financing,Sum section below to this line,CSD,,83500,,15000,,83500,,83500,,83500,,15000,,15000
Construction Loan Fees:,,,0.002937128,,0.002937128,,0.002937128,,0.002937128,,0.002937128,,0.002937128,,0.002937128,
Origination Fee,Data Needed ,,0.000447951,,0.000447951,,0.000447951,,0.000447951,,0.000447951,,0.000447951,,0.000447951,
Inspections, Is this inspection to certify loan? ~$20000,Fixed,20000,20000,5000,5000,20000,20000,20000,20000,20000,20000,5000,5000,5000,5000
Appraisal,Not  included on all projects ~$3500,Fixed,3500,3500,0,0,3500,3500,3500,3500,3500,3500,0,0,0,0
Bank Legal,"Wide variance per project , typical ~$45,ooo +- 15K",CSD,45000,45000,0,0,45000,45000,45000,45000,45000,45000,0,0,0,0
PSH DEV org Legal,"In 10-20k  smooth project, can 2x if project has challenges ",Fixed,15000,15000,10000,10000,15000,15000,15000,15000,15000,15000,10000,10000,10000,10000
Construction Loan Interest,Sum section below to this line,,600000,600000,Intrest free financing,0,600000,600000,600000,0,600000,600000,600000,0,600000,0
Const Period Interest (Eligible),Construction costs*rate*(months/12),Scales ,0.02,516489.8667,0,0,0.02,500656.2528,0.02,249342.3333,0.02,505713.3867,0,0,0,313686.3333
Lease-up Period Interest (Ineligible),Data Needed,,0,,0,,0,,0,,0,,0,,0,
Interest Reserve,Data Needed,,0,,0,,0,,0,,0,,0,,0,
Permanent Financing ,,,0,,0,,0,,0,,0,,0,,0,
Perm Loan Fees,Data Needed,CSD,0,,0,,0,,0,,0,,0,,0,
Perm Loan Expenses ,Data Needed  Wide range,CSD,43308,43308,0,0,43308,43308,43308,43308,43308,43308,0,0,0,0
Perm Loan Legal,"~$12,000 when included ",CSD,12000,12000,0,0,12000,12000,12000,12000,12000,12000,0,0,0,0
LIHTC Fees(WSHFC), 9.5% fee on bonds issued through WSHFC + $30 per unit ?,CSD,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIHTC Legal:,Sum section below this line,CSD,,80000,,0,,80000,0,0,,80000,0,0,,0
Investor Legal,"~$40,000",Fixed,40000,40000,0,0,40000,40000,40000,40000,40000,40000,0,0,0,0
PSH Dev. Org Legal,"$30,000 +- 10K",Fixed,40000,40000,0,0,40000,40000,40000,40000,40000,40000,0,0,0,0
State HTF Fees,"Not  included on all projects ~$55,000 +- 5K",Fixed,55000,55000,0,0,0,0,55000,55000,55000,55000,0,0,20000,20000
Capitalized Reserves,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Operating Reserves,"Can be exclude depending on capital stack ~$600,000",CSD,600000,600000,0,0,600000,600000,600000,600000,600000,600000,0,0,100000,100000
Investor Service Fee Reserve,Data Needed           (Not included on all projects) ,CSD,75000,75000,0,0,75000,75000,75000,75000,75000,75000,0,0,0,0
Replacement Reserves,"~ $36,000",Fixed,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000
Other Development Costs,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Real Estate & Property Tax,(land cost*rate) = Appraised value * 1.28,,0.0128,40320,0.0128,40320,0,0,0.0128,40320,0.0128,0,0,0,0.0128,40320
Insurance:,Sum section below this line,,143242.57,170000,143242.57,170000,143242.57,170000,143242.57,170000,143242.57,170000,143242.57,170000,143242.57,170000
Builders Risk,"~$120,000",Fixed,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000
Liability for PSH Dev org,"~$50,000 +- 10K",Fixed,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000
Other,Data Needed ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Relocation,"If included ~$50,000",UPP,50000,50000,50000,50000,0,0,50000,50000,50000,50000,0,0,50000,50000
"Permits, Fees & Hookups",Sum section Below to this line,,Sum,780000,Sum,780000,Sum (~90% savings),65000,709283,780000,Sum,780000,Sum (~90% savings),65000,Sum,780000
SDCI (Building & Land Use),"~$90,000",Fixed,90000,90000,90000,90000,9000,9000,90000,90000,90000,90000,9000,9000,90000,90000
Seattle City Light ,"~$200,000",Fixed,200000,200000,200000,200000,20000,20000,200000,200000,200000,200000,20000,20000,200000,200000
SDOT ,"~$35,000",Fixed,35000,35000,35000,35000,0,0,35000,35000,35000,35000,0,0,35000,35000
SPU,"~$95,000",Fixed,95000,95000,95000,95000,0,0,95000,95000,95000,95000,0,0,95000,95000
KC Wastewater Treatment,"~$350,000",Fixed,350000,350000,350000,350000,35000,35000,350000,350000,350000,350000,35000,35000,350000,350000
Phone/Cable/Internet,"~$10,000",Fixed,10000,10000,10000,10000,1000,1000,10000,10000,10000,10000,1000,1000,10000,10000
Development Period Utilities,Dara needed,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIHTC Nonprofit Donation ,"If included ~$25,000",Fixed,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000
Accounting/Audit,"~$20,000",Fixed,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
Marketing/Leasing Expenses,"~$15,000 +- 5K",Fixed,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000
Carrying Costs at Rent Up,"~$200,000",Fixed,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000